region, city_town, egm_numbers_as_at_31_december_2018, lga_name, expenditure_1_jul_18_31_dec_18, venue_name, ven_type, postcode, long, objectid, lat
"Country","BENDIGO",35,"City of Greater Bendigo",1866330,"RISING SUN HOTEL","Hotel",3550,144.2828064,627,-36.7502
"Metro","HAWTHORN",42,"City of Boroondara",2581552,"RIVERSDALE HOTEL","Hotel",3122,145.0437927,629,-37.8301
"Metro","SEAFORD",40,"City of Frankston",1941407,"RIVIERA HOTEL","Hotel",3198,145.1235046,630,-38.0888
"Country","BALLARAT",20,"City of Ballarat",539733,"ROBIN HOOD HOTEL","Hotel",3350,143.8636932,631,-37.5613
"Country","ROBINVALE",68,"Rural City of Swan Hill",1434000,"ROBINVALE GOLF CLUB","Club",3549,142.7798004,632,-34.6013
"Metro","EAST RESERVOIR",44,"City of Darebin",2719759,"ROSE SHAMROCK & THISTLE HOTEL","Hotel",3073,145.0166931,635,-37.7291
"Metro","ROSEBUD",40,"Shire of Mornington Peninsula",725263,"ROSEBUD COUNTRY CLUB","Club",3939,144.8993988,636,-38.3788
"Metro","ROSEBUD",70,"Shire of Mornington Peninsula",5740678,"ROSEBUD HOTEL","Hotel",3939,144.902298,637,-38.3567
"Metro","ROSEBUD",75,"Shire of Mornington Peninsula",2343131,"ROSEBUD RSL","Club",3939,144.9044952,638,-38.368
"Metro","CARNEGIE",103,"City of Glen Eira",8569866,"ROSSTOWN HOTEL","Hotel",3163,145.0576019,639,-37.8843
"Metro","ROXBURGH PARK",80,"City of Hume",8351035,"ROXBURGH PARK HOTEL","Hotel",3064,144.929306,640,-37.6415
"Country","TRARALGON",20,"City of Latrobe",1416703,"ROYAL EXCHANGE HOTEL","Hotel",3844,146.5355988,642,-38.1983
"Country","BENALLA",30,"Rural City of Benalla",1131407,"ROYAL HOTEL (BENALLA)","Hotel",3672,145.976593,645,-36.554
"Country","DAYLESFORD",18,"Shire of Hepburn",712965,"ROYAL HOTEL (DAYLESFORD)","Hotel",3460,144.1430969,646,-37.3418
"Metro","ESSENDON",60,"City of Moonee Valley",3758801,"ROYAL HOTEL (ESSENDON)","Hotel",3040,144.917099,647,-37.7556
"Metro","SUNBURY",31,"City of Hume",3214035,"ROYAL HOTEL (SUNBURY)","Hotel",3429,144.729599,648,-37.5802
"Metro","CHELTENHAM",76,"City of Kingston",4813271,"ROYAL OAK HOTEL","Hotel",3192,145.0641937,655,-37.9726
"Metro","RICHMOND",80,"City of Yarra",2245765,"ROYAL OAK RICHMOND","Club",3121,145.0084991,656,-37.8193
"Country","THORNTON",25,"Shire of Murrindindi",746916,"RUBICON HOTEL","Hotel",3712,145.7973938,658,-37.2555
"Metro","RYE",30,"Shire of Mornington Peninsula",1413081,"RYE HOTEL","Hotel",3941,144.8204956,661,-38.3703
"Metro","RYE",70,"Shire of Mornington Peninsula",2869805,"RYE RSL CLUB","Club",3941,144.8231049,662,-38.3718
"Country","SALE",80,"Shire of Wellington",3163204,"SALE & DISTRICT GREYHOUND RACING CLUB","Club",3850,147.0641022,663,-38.0916
"Metro","POINT COOK",70,"City of Wyndham",5700962,"SANCTUARY LAKES HOTEL","Hotel",3030,144.7534943,665,-37.8942
"Metro","MOORABBIN",82,"City of Kingston",6049102,"SANDBELT CLUB HOTEL","Hotel",3189,145.0675049,667,-37.9384
"Metro","NOBLE PARK",76,"City of Greater Dandenong",5861528,"SANDOWN PARK HOTEL","Hotel",3174,145.1723938,668,-37.9491
"Metro","SANDRINGHAM",40,"City of Bayside",2374085,"SANDRINGHAM HOTEL","Hotel",3191,145.0032959,669,-37.9512
"Metro","CARRUM DOWNS",65,"City of Frankston",5320725,"SANDS TAVERNER","Hotel",3201,145.1840057,670,-38.1005
"Metro","SEAFORD",25,"City of Frankston",814310,"SEAFORD RSL","Club",3198,145.128006,672,-38.1029
"Metro","SEAFORD",94,"City of Frankston",7446120,"SEAFORD TAVERNER","Hotel",3198,145.1555023,673,-38.1127
"Metro","NEWPORT",66,"City of Hobsons Bay",3855136,"SEAGULLS NEST","Club",3015,144.8827057,674,-37.8432
"Country","SEBASTOPOL",50,"City of Ballarat",2644565,"SEBASTOPOL BOWLING CLUB","Club",3356,143.8415985,675,-37.6002
"Country","SEYMOUR",50,"Shire of Mitchell",2003724,"SEYMOUR CLUB","Club",3660,145.1325073,676,-37.0215
"Country","BENDIGO",60,"City of Greater Bendigo",2097710,"SHAMROCK HOTEL","Hotel",3550,144.281601,678,-36.7578
"Metro","MELBOURNE",48,"City of Melbourne",1879903,"SHANGHAI CLUB","Hotel",3000,144.9656067,680,-37.8121
"Country","CORIO",77,"City of Greater Geelong",3207804,"SHELL CLUB","Club",3214,144.3601074,681,-38.0725
"Country","SHEPPARTON",56,"City of Greater Shepparton",2262753,"SHEPPARTON CLUB","Club",3630,145.3995972,682,-36.3845
"Country","SHEPPARTON",80,"City of Greater Shepparton",3397831,"SHEPPARTON RSL","Club",3630,145.3999939,683,-36.3744
"Country","SHEPPARTON",43,"City of Greater Shepparton",2206064,"SHERBOURNE TERRACE","Hotel",3630,145.4008026,684,-36.3756
"Metro","DONCASTER",87,"City of Manningham",7521826,"SHOPPINGTOWN HOTEL","Hotel",3108,145.1237946,685,-37.7849
"Metro","HEIDELBERG",65,"City of Banyule",3666245,"SIR HENRY BARKLY HOTEL","Hotel",3084,145.0675049,687,-37.7558
"Metro","AIRPORT WEST",96,"City of Moonee Valley",9770404,"SKYWAYS TAVERNER","Hotel",3042,144.8880005,689,-37.7123
"Metro","SOMERVILLE",39,"Shire of Mornington Peninsula",2978851,"SOMERVILLE HOTEL","Hotel",3912,145.1744995,690,-38.2243
"Metro","BENTLEIGH EAST",40,"City of Glen Eira",536496,"SOUTH OAKLEIGH CLUB","Club",3165,145.0756073,693,-37.9313
"Country","NORTH GEELONG",67,"City of Greater Geelong",5160557,"SPHINX ENTERTAINMENT CENTRE","Hotel",3215,144.3421936,697,-38.1259
"Country","SALE",74,"Shire of Wellington",2810176,"SPORTING LEGENDS CLUB","Club",3850,147.0675049,700,-38.1045
"Country","WENDOUREE",35,"City of Ballarat",1317773,"SPORTSPARK GAMING AND ENTERTAINMENT CENTRE","Club",3355,143.8419037,701,-37.5285
"Metro","SPRINGVALE",55,"City of Greater Dandenong",2944204,"SPRINGVALE RSL CLUB","Club",3171,145.1459961,703,-37.9462
"Metro","ST ALBANS",50,"City of Brimbank",5523393,"ST ALBANS HOTEL","Hotel",3021,144.800293,705,-37.7464
"Metro","ST ALBANS",35,"City of Brimbank",2659255,"ST ALBANS SPORTS CLUB","Club",3021,144.7765961,706,-37.7326
"Country","ST ARNAUD",35,"Shire of Northern Grampians",764252,"ST ARNAUD SPORTING CLUB","Club",3478,143.2602997,707,-36.6102
"Country","GEELONG WEST",35,"City of Greater Geelong",1832900,"ST GEORGE WORKERS CLUB","Club",3218,144.3482056,708,-38.1425
"Metro","ST KILDA",53,"City of Port Phillip",1175789,"ST KILDA ARMY & NAVY CLUB","Club",3182,144.9790955,710,-37.8674
"Metro","MOORABBIN",83,"City of Kingston",1207749,"ST KILDA FOOTBALL SOCIAL CLUB","Club",3189,145.0431061,711,-37.9373
"Metro","ROWVILLE",85,"City of Knox",6206989,"STAMFORD HOTEL","Hotel",3178,145.2319946,713,-37.9267
"Country","SALE",23,"Shire of Wellington",1020130,"STAR HOTEL (SALE)","Hotel",3850,147.065506,715,-38.109
"Country","BRIGHT",18,"Shire of Alpine",529813,"STAR HOTEL BRIGHT","Hotel",3741,146.975296,716,-36.729
"Country","STAWELL",45,"Shire of Northern Grampians",1401351,"STAWELL HARNESS RACING CLUB","Club",3380,142.7868958,718,-37.0696
"Metro","MORNINGTON",85,"Shire of Mornington Peninsula",4840456,"STEEPLES","Club",3931,145.0673065,719,-38.2388
"Country","BACCHUS MARSH",40,"Shire of Moorabool",1767828,"STONEYS CLUB","Club",3340,144.4333954,720,-37.6831
"Metro","SYDENHAM",62,"Shire of Melton",4801099,"SUGAR GUM HOTEL","Hotel",3037,144.7431946,721,-37.6926
"Metro","RESERVOIR",88,"City of Darebin",6263989,"SUMMERHILL HOTEL","Hotel",3073,145.0265961,722,-37.7253
"Metro","SUNBURY",78,"City of Hume",2008845,"SUNBURY BOWLING CLUB","Club",3429,144.7225037,723,-37.572
"Metro","SUNBURY",38,"City of Hume",942302,"SUNBURY FOOTBALL SOCIAL CLUB","Club",3429,144.7210999,724,-37.5749
"Metro","SUNBURY",40,"City of Hume",1141320,"SUNBURY UNITED SPORTING CLUB","Club",3429,144.709198,725,-37.5861
"Metro","SUNSHINE",18,"City of Brimbank",322250,"SUNSHINE CITY CLUB","Club",3020,144.824295,726,-37.7791
"Metro","SUNSHINE",60,"City of Brimbank",2058885,"SUNSHINE RSL","Club",3020,144.8374939,728,-37.7871
"Country","SWAN HILL",42,"Rural City of Swan Hill",1044414,"SWAN HILL CLUB","Club",3585,143.5605011,729,-35.3389
"Country","SWAN HILL",35,"Rural City of Swan Hill",871121,"SWAN HILL RSL","Club",3585,143.561203,730,-35.3412
"Metro","CAMPBELLFIELD",75,"City of Hume",5521116,"SYLVANIA HOTEL","Hotel",3061,144.9524994,732,-37.6737
"Metro","MELTON SOUTH",80,"Shire of Melton",4356198,"TABCORP PARK","Club",3338,144.6006012,733,-37.6933
"Metro","FITZROY",49,"City of Yarra",2675249,"TANKERVILLE ARMS HOTEL","Hotel",3065,144.9750977,735,-37.7982
"Metro","TAYLORS LAKES",105,"City of Brimbank",8296102,"TAYLORS LAKES FAMILY HOTEL","Hotel",3038,144.7998047,738,-37.7023
"Metro","LOWER TEMPLESTOWE",50,"City of Manningham",3953963,"TEMPLESTOWE HOTEL","Hotel",3107,145.1172943,741,-37.7562
"Metro","HEALESVILLE",30,"Shire of Yarra Ranges",472875,"TERMINUS HOTEL","Hotel",3777,145.5096132,743,-37.65636766
"Metro","PORT MELBOURNE",29,"City of Port Phillip",1238565,"THE BAY & BRIDGE HOTEL","Hotel",3207,144.9443054,744,-37.8369
"Metro","ALBERT PARK",32,"City of Port Phillip",1148456,"THE BEACH","Hotel",3206,144.9488068,745,-37.8475
"Country","BENDIGO",60,"City of Greater Bendigo",1450889,"THE BENDIGO CLUB","Club",3550,144.3123932,747,-36.762
"Country","EAGLEHAWK",40,"City of Greater Bendigo",1595319,"THE BOROUGH CLUB","Club",3556,144.2519989,749,-36.7179
"Metro","MORDIALLOC",50,"City of Kingston",1730855,"THE BRIDGE HOTEL","Hotel",3195,145.0879974,750,-38.01
"Metro","POINT COOK",80,"City of Wyndham",3522673,"THE BROOK ON SNEYDES","Club",3030,144.7288971,751,-37.8979
"Metro","BRUNSWICK",43,"City of Moreland",972782,"THE BRUNSWICK CLUB","Club",3056,144.960907,752,-37.7725
"Metro","CAULFIELD",50,"City of Glen Eira",3004689,"The CAMDEN TOWN HOTEL","Hotel",3162,145.0211029,805,-37.8894
"Metro","FOREST HILL",90,"City of Whitehorse",7371808,"THE CHASE HOTEL","Hotel",3131,145.1647949,754,-37.8353
"Metro","CLAYTON",35,"City of Monash",3038130,"THE CLAYTON HOTEL","Hotel",3168,145.1195068,755,-37.9243
"Metro","CAROLINE SPRINGS",0,"Shire of Melton",4289054,"THE CLUB","Club",3023,144.7418976,756,-37.7559
"Metro","CAROLINE SPRINGS",66,"Shire of Melton",461580,"THE CLUB","Club",3023,144.7418976,756,-37.7559
"Metro","RINGWOOD",0,"City of Maroondah",1668830,"THE COACH AND HORSES","Club",3134,145.2176971,758,-37.8166
"Metro","RINGWOOD",90,"City of Maroondah",287372,"THE COACH AND HORSES","Club",3134,145.2176971,758,-37.8166
"Metro","PATTERSON LAKES",53,"City of Kingston",4295027,"THE COVE HOTEL","Hotel",3197,145.1363983,760,-38.0709
"Metro","ELSTERNWICK",32,"City of Glen Eira",918292,"THE ELSTERNWICK CLUB","Club",3185,145.0041962,763,-37.8817
"Country","BENDIGO",25,"City of Greater Bendigo",1047066,"THE FOUNDRY HOTEL COMPLEX","Hotel",3555,144.2566986,764,-36.7736
"Metro","LILYDALE",80,"Shire of Yarra Ranges",2697066,"THE INTERNATIONAL","Club",3140,145.3647003,765,-37.7523
"Metro","DANDENONG",30,"City of Greater Dandenong",1183552,"THE JIM DANDY HOTEL","Hotel",3175,145.2138977,766,-37.9894
"Country","LAKES ENTRANCE",41,"Shire of East Gippsland",1482561,"THE LAKES ENTERTAINMENT CENTRE","Club",3909,147.9902039,767,-37.879
"Metro","MELBOURNE",56,"City of Melbourne",4123633,"THE MEETING PLACE","Club",3000,144.9613953,768,-37.8112
"Country","BALLARAT",24,"City of Ballarat",541824,"THE MINERS TAVERN","Hotel",3350,143.8587036,769,-37.5592
"Metro","MOONEE PONDS",50,"City of Moonee Valley",1418610,"THE MOONEE PONDS CLUB","Club",3039,144.9266968,770,-37.7714
"Country","WANGARATTA",35,"Rural City of Wangaratta",1057381,"THE OLD TOWN 'N' COUNTRY TAVERN","Hotel",3677,146.3070068,771,-36.3766
"Country","ORBOST",24,"Shire of East Gippsland",445438,"THE ORBOST CLUB","Club",3888,148.4600067,772,-37.7024
"Metro","POINT COOK",50,"City of Wyndham",3142158,"THE PHOENIX HOTEL","Hotel",3030,144.7467957,773,-37.8725
"Metro","RICHMOND",40,"City of Yarra",2511096,"THE PRINCE OF WALES HOTEL - RICHMOND","Hotel",3121,145.0001984,774,-37.8146
"Metro","PORT MELBOURNE",57,"City of Port Phillip",2565217,"THE REX","Club",3207,144.9394073,777,-37.8413
"Country","PORTLAND   TORIA",32,"Shire of Glenelg",1248005,"THE RICHMOND HENTY HOTEL, PORTLAND","Hotel",3305,141.6056061,778,-38.3476
"Metro","RICHMOND",31,"City of Yarra",1506552,"THE RICHMOND SOCIAL","Hotel",3121,144.9965057,779,-37.8253
"Metro","FERNTREE GULLY",69,"City of Knox",3319696,"THE ROYAL HOTEL FERNTREE GULLY","Hotel",3156,145.3096008,780,-37.8939
"Country","SALE",36,"Shire of Wellington",799288,"THE SALE RSL & COMMUNITY SUB-BRANCH","Club",3850,147.0688934,781,-38.0904
"Metro","CRANBOURNE",52,"City of Casey",5834539,"THE SETTLEMENT AT CRANBOURNE","Hotel",3977,145.283493,782,-38.0975
"Metro","HOPPERS CROSSING",75,"City of Wyndham",5609670,"THE TIGERS CLUBHOUSE","Club",3029,144.7062073,789,-37.8805
"Metro","MULGRAVE",55,"City of Monash",4478846,"THE VALE HOTEL","Hotel",3170,145.1548004,790,-37.9307
"Metro","WILLIAMSTOWN",60,"City of Hobsons Bay",1766655,"THE VIC INN","Club",3016,144.8972931,791,-37.8571
"Country","YARRAM",37,"Shire of Wellington",1292338,"THE YARRAM COUNTRY CLUB","Club",3971,146.6746979,792,-38.5666
"Metro","TOORADIN",46,"City of Casey",1190409,"TOORADIN & DISTRICT SPORTS CLUB","Club",3980,145.375,796,-38.2102
"Country","TORQUAY",45,"Shire of Surf Coast",1155942,"TORQUAY HOTEL","Hotel",3228,144.319397,797,-38.3382
"Metro","EAST HAWTHORN",33,"City of Boroondara",1144468,"TOWER HOTEL","Hotel",3123,145.0478973,799,-37.8258
"Country","TRARALGON",59,"City of Latrobe",2863845,"TRARALGON BOWLS CLUB","Club",3844,146.5514069,801,-38.1943
"Country","TRARALGON",37,"City of Latrobe",1338441,"TRARALGON RSL","Club",3844,146.5272064,802,-38.1929
"Metro","CRANBOURNE",75,"City of Casey",4127342,"TRIOS SPORTS CLUB","Club",3977,145.2796936,803,-38.1159
"Metro","CHELTENHAM",47,"City of Kingston",2861545,"TUDOR INN HOTEL","Hotel",3192,145.0576935,804,-37.9636
"Country","COLAC",22,"Shire of Colac-Otway",1387979,"UNION CLUB HOTEL","Hotel",3250,143.5872955,806,-38.3399
"Metro","YARRA JUNCTION",30,"Shire of Yarra Ranges",855591,"UPPER YARRA RSL","Club",3797,145.6253052,808,-37.7766
"Country","GEELONG",29,"City of Greater Geelong",838404,"VALLEY INN HOTEL","Hotel",3220,144.3586919,809,-38.1632246
"Metro","MULGRAVE",75,"City of Monash",5773538,"VEGAS AT WAVERLEY GARDENS","Club",3170,145.1893005,810,-37.9353
"Metro","BULLEEN",90,"City of Manningham",3443505,"VENETO CLUB","Club",3105,145.0778961,811,-37.7724
"Country","SHEPPARTON",40,"City of Greater Shepparton",3285478,"VICTORIA HOTEL (SHEPPARTON)","Hotel",3630,145.3993988,819,-36.3787
"Country","GISBORNE",50,"Shire of Macedon Ranges",2992057,"VICTORIAN TAVERN","Hotel",3437,144.5908966,821,-37.486
"Metro","ST KILDA",31,"City of Port Phillip",1163200,"VILLAGE BELLE HOTEL","Hotel",3182,144.9810028,822,-37.8695
"Metro","MULGRAVE",78,"City of Monash",5391524,"VILLAGE GREEN HOTEL","Hotel",3170,145.1600952,823,-37.9042
"Metro","RICHMOND",26,"City of Yarra",1912316,"VINE HOTEL RICHMOND","Hotel",3121,144.9992981,825,-37.8187
"Metro","SPRINGVALE",71,"City of Greater Dandenong",6137016,"WALTZING MATILDA HOTEL","Hotel",3171,145.1492004,827,-37.9627
"Country","WANGARATTA",25,"Rural City of Wangaratta",678533,"WANGARATTA CLUB","Club",3677,146.3265991,828,-36.354
"Country","WANGARATTA",32,"Rural City of Wangaratta",1015366,"WANGARATTA RSL","Club",3677,146.3269043,829,-36.3538
"Metro","WANTIRNA SOUTH",97,"City of Knox",2837794,"WANTIRNA CLUB","Club",3152,145.2333069,830,-37.87
"Metro","WANTIRNA",60,"City of Knox",1757169,"WANTIRNA HILL CLUB","Club",3152,145.2250061,831,-37.8467
"Country","WARRAGUL",100,"Shire of Baw Baw",2649760,"WARRAGUL CLUB","Club",3820,145.9290924,833,-38.1608
"Country","WARRAGUL",80,"Shire of Baw Baw",3505909,"WARRAGUL COUNTRY CLUB","Club",3820,145.922699,834,-38.1488
"Country","WARRNAMBOOL",40,"City of Warrnambool",1648838,"WARRNAMBOOL BOWLS CLUB","Club",3280,142.4862061,835,-38.3878
"Country","WARRNAMBOOL",40,"City of Warrnambool",1321031,"WARRNAMBOOL FOOTBALL CLUB SOCIAL CLUB","Club",3280,142.4947052,836,-38.38
"Country","WARRNAMBOOL",24,"City of Warrnambool",668158,"WARRNAMBOOL RSL","Club",3280,142.4803925,837,-38.3869
"Metro","TAYLORS LAKES",76,"City of Brimbank",8064472,"WATERGARDENS HOTEL","Hotel",3038,144.7779999,840,-37.6995
"Metro","MOONEE PONDS",70,"City of Moonee Valley",5758865,"WATERLOO CUP HOTEL","Hotel",3039,144.9057007,841,-37.7701
"Metro","WATSONIA",103,"City of Banyule",3934154,"WATSONIA RSL","Club",3087,145.0820007,842,-37.7093
"Country","WAURN PONDS",70,"City of Greater Geelong",3493277,"WAURN PONDS HOTEL","Hotel",3216,144.3106995,843,-38.2032
"Metro","GLEN WAVERLEY",67,"City of Monash",2720973,"WAVERLEY RSL CLUB","Club",3150,145.1625061,844,-37.8801
"Metro","WERRIBEE",80,"City of Wyndham",7283042,"WERRIBEE PLAZA TAVERN","Hotel",3030,144.6815033,846,-37.8763
"Metro","WERRIBEE",60,"City of Wyndham",1519498,"WERRIBEE RSL","Club",3030,144.6645966,847,-37.9005
"Metro","WEST HEIDELBERG",31,"City of Banyule",796859,"WEST HEIDELBERG RSL","Club",3081,145.0494995,849,-37.7521
"Country","HORSHAM",34,"Rural City of Horsham",1019528,"WEST SIDE HORSHAM","Club",3400,142.1869049,850,-36.7146
"Metro","CAROLINE SPRINGS",90,"Shire of Melton",7322768,"WEST WATERS HOTEL","Hotel",3023,144.7451019,852,-37.732
"Metro","SUNSHINE",78,"City of Brimbank",6051504,"WESTEND MARKET HOTEL","Hotel",3020,144.8264008,853,-37.7719
"Metro","HASTINGS",40,"Shire of Mornington Peninsula",2213502,"WESTERNPORT HOTEL","Hotel",3915,145.1929932,855,-38.3073
"Metro","WESTMEADOWS",40,"City of Hume",3119259,"WESTMEADOWS TAVERN","Hotel",3049,144.8887939,856,-37.676
"Metro","LAVERTON NORTH",70,"City of Wyndham",4947553,"WESTSIDE TAVERNER","Hotel",3026,144.7792053,857,-37.8445
"Country","WARRNAMBOOL",34,"City of Warrnambool",1496939,"WHALERS HOTEL","Hotel",3280,142.4812927,858,-38.3858
"Metro","WHEELERS HILL",40,"City of Monash",2499209,"WHEELERS HILL HOTEL","Hotel",3150,145.1894989,859,-37.9063
"Metro","WHITTLESEA",50,"City of Whittlesea",2107360,"WHITTLESEA BOWLS CLUB","Club",3757,145.1179962,861,-37.5089
"Country","KANGAROO FLAT",40,"City of Greater Bendigo",3237804,"WINDERMERE HOTEL","Hotel",3555,144.2436981,865,-36.7955
"Country","WONTHAGGI",68,"Shire of Bass Coast",2779307,"WONTHAGGI CLUB","Club",3995,145.5906067,866,-38.6056
"Country","WONTHAGGI",15,"Shire of Bass Coast",146932,"WONTHAGGI GOLF CLUB","Club",3995,145.5899963,867,-38.597
"Country","WONTHAGGI",55,"Shire of Bass Coast",2076438,"WONTHAGGI WORKMEN'S CLUB","Club",3995,145.5928955,869,-38.6062
"Metro","BULLEEN",70,"City of Manningham",2153177,"YARRA VALLEY COUNTRY CLUB","Club",3105,145.0847015,872,-37.7572
"Metro","YARRAVILLE",103,"City of Maribyrnong",3182495,"YARRAVILLE CLUB","Club",3013,144.8943939,873,-37.8176
"Metro","MAIDSTONE",76,"City of Maribyrnong",6727000,"YARRAVILLE CLUB CRICKET CLUB","Club",3012,144.8827972,874,-37.7881
"Metro","YARRAVILLE",29,"City of Maribyrnong",1253855,"YARRAVILLE-FOOTSCRAY BOWLING CLUB","Club",3013,144.8695984,875,-37.8197
"Metro","MT EVELYN",70,"Shire of Yarra Ranges",3081061,"YORK ON LILYDALE TAVERNER RESORT","Hotel",3796,145.3616943,878,-37.7953
"Metro","BORONIA",80,"City of Knox",6370212,"ZAGAME BORONIA","Hotel",3155,145.2863007,882,-37.8629
"Country","BALLARAT",105,"City of Ballarat",6716247,"ZAGAME'S BALLARAT CLUB HOTEL","Hotel",3350,143.8683014,883,-37.5821
"Metro","CAULFIELD EAST",100,"City of Glen Eira",6382157,"ZAGAME'S CAULFIELD CLUB HOTEL","Hotel",3145,145.0415955,884,-37.8758
